Question,Answer A,Answer B,Answer C,Answer D,Answer E
Dalla reazione tra potassio e ossigeno si ricava K2O. Quale delle seguenti affermazioni è FALSA?,K2O reagisce con acqua per dare un ossiacido o acido ossigenato,K2O è un ossido basico,K2O è un composto binario,K2O reagisce con acqua per dare un composto ternario,K2O reagisce violentemente con l'acqua
"Nella reazione AgNO3 + KCl → AgCl + KNO3 quante moli di AgCl si possono ottenere da 2,5 moli di KCl?",2.5,5,2,8,7
Le dimensioni atomiche degli elementi neutri:,diminuiscono lungo un periodo della tavola periodica,aumentano lungo un periodo della tavola periodica,diminuiscono lungo un gruppo della tavola periodica,atomi di uno stesso gruppo della tavola periodica hanno stesse dimensioni,tutti gli elementi neutri hanno le stesse dimensione atomiche
"Il peso molecolare di Na2SO4 (solfato di sodio) è 142,0 g/mol. Per
prelevare una millimole di sostanza bisogna pesarne:","0,142 g","1,42 g","14,2 mg",142 g,"0,0142 g"
Quale delle seguenti affermazioni è vera?,Le masse del neutrone e del protone sono quasi uguali,La massa del neutrone è minore di quella dell'elettrone,La massa del protone è circa il doppio di quella dell'elettrone,La massa di un atomo è determinata solo dai protoni,Le masse dell'elettrone e del protone sono quasi uguali
La DNA polimerasi catalizza la formazione di un legame:,fosfodiestereo,fosfotirosinico,fosfoamminico,peptidico,nucleotidico
"L'acido HClO è un acido debole, per cui il pH di una soluzione del suo sale di calcio [Ca(ClO)2], comunemente addizionato all'acqua delle piscine, è:",basico perché lo ione ClO– ha carattere basico in acqua,acido perché si forma HClO,neutro perché è una soluzione di un sale,basico perché Ca(OH)2 è una base debole e insolubile,"neutro se la concentrazione è inferiore a 0,1 M"
Quale delle seguenti affermazioni è corretta?,Il legame covalente dativo si stabilisce quando la coppia di elettroni condivisi viene fornita solo da uno dei due atomi che formano il legame,L'energia di ionizzazione è l'energia che si libera quando da un atomo neutro si forma un anione,Il volume atomico aumenta da sinistra verso destra lungo uno stesso periodo,Un legame è chiamato doppio quando tra due atomi vengono messi in comune due elettroni,Un protone e un neutrone hanno la stessa carica elettrica e massa differente
Una soluzione contiene 2 moli di soluto in 5 litri di soluzione. Qual è la sua molarità?,"0,4 M",2 M,10 M,"0,5 M","0,2 M"
Quale di queste soluzioni ha la pressione osmotica più bassa (le soluzioni sono alla stessa temperatura)?,"Una soluzione 1,5 molare in glucosio","Una soluzione 1,0 molare in NaCl","Una soluzione 1,25 molare in KCl","Una soluzione 1,6 molare in saccarosio","Una soluzione 2,0 molare in ioni sodio Na+"
Per l'alchilazione di Friedel-Crafts di composti aromatici con alogenuri alchilici si impiegano come catalizzatori:,acidi di Lewis,acidi di Broensted,basi di Lewis,acidi poliprotici,basi forti
"Tra le seguenti soluzioni: acido cloridrico 0,1 M, acido acetico 3 M, ammoniaca 0,5 M, cloruro di sodio 1 M, idrossido di sodio 0,1 M, la soluzione con pH più basso è:",HCl,NH3,CH3COOH,NaCl,NaOH
Il passaggio di una sostanza dallo stato solido a quello liquido si chiama:,fusione,liquefazione,sublimazione,condensazione,solidificazione
La formula molecolare:,può essere uguale o multipla della formula minima,è sempre multipla della formula minima,è uguale alla formula minima,è un sottomultiplo della formula minima,contiene informazioni strutturali
"Alluminio (Al), stagno (Sn) e piombo (Pb):",sono metalli di post-transizione,sono metalloidi,sono metalli alcalino-terrosi,si trovano nello stesso gruppo del ferro (Fe),si trovano nello stesso gruppo del rame (Cu)
Il numero di massa (A) è determinato:,dalla somma tra protoni e neutroni,dalla somma tra protoni ed elettroni,dal numero dei neutroni,dal numero dei protoni,dal numero degli elettroni
Qual è la massa molare del composto con formula C6H12O6?,"180,16 g/mol","180,16 g","180,16 mol","180,16 M","180,16 m"
L'elettrone è una particella di carica negativa:,con una massa 1840 volte minore di quella del protone,con massa 1840 volte maggiore di quella del protone,con una massa uguale a quella del protone,non ha massa,con una massa uguale al neutrone
Che cos'è l'acetato di butile?,Nessuna delle altre alternative è corretta,Un'anidride,Un acido acrbossilico,Un chetone,Un etere
Una soluzione contiene 4 moli di soluto in 36 moli di solvente. Qual è la frazione molare del soluto?,0.1,0.4,4,36,9
Quale delle seguenti affermazioni NON vale per gli elementi alogeni?,Si trovano tutti allo stato gassoso a 25 °C,Nella tavola periodica si trovano nella colonna a sinistra dei gas nobili,Appartengono al gruppo 17 della tavola periodica,Possono formare dei sali con i metalli,Nessuna delle altre alternative è corretta
Il numero atomico del calcio è 20. Qual è il numero totale di elettroni dello ione Ca++?,18,10,20,22,40
Indicare lo ione bicarbonato.,HCO3–,(CO32–)2,"–
H2CO3","2–
CO2",Nessuna delle altre alternative è corretta
Per calcolare il peso atomico del fenantrene:,si effettua la somma algebrica dei pesi degli atomi che compongono il fenantrene,è necessario conoscere la concentrazione di fenantrene in soluzione,è necessario sommare il peso atomico di tutti gli isotopi più leggeri degli atomi che compongono la molecola,è necessario sommare il peso di tutti gli isotopi più pesanti degli atomi che compongono la molecola,è necessario sommare il peso di tutti gli isotopi degli atomi che compongono la molecola e dividere il risultato per il numero di isotopi considerati
Completare in modo corretto. La molalità (m) del soluto di una soluzione rappresenta un modo di esprimere la concentrazione della soluzione. Il suo valore:,non dipende dalla temperatura,dipende dalla temperatura,è dato dalla quantità chimica di soluto presente in 1 L di solvente puro,è dato dalla quantità chimica di soluto presente in 1 L di soluzione,è dato dal rapporto tra le moli n del soluto e le moli totali della soluzione
Qual è il numero di ossidazione del fosforo nell'acido fosforico H3PO4?,5,0,–2,–5,4
Una soluzione acida:,ha un pH inferiore a 7,ha un pH superiore a 7,ha un pH uguale a 7,ha un pOH inferiore a 7,ha un pH superiore a 14
Qual è il metodo più appropriato per separare i componenti di una miscela di acqua e cloruro di sodio?,Distillazione,Filtrazione,Centrifugazione,Decantazione,Nessuno dei metodi indicati nelle altre alternative
Quale di questi gruppi rappresenta un alcol?,ROH,ROR',RCOR',RCOOR',ROOH
La formula minima di un composto indica:,il rapporto tra gli atomi nella molecola,la disposizione spaziale degli atomi nella molecola,nessuna delle altre alternative è corretta,la struttura degli atomi di carbonio,la somma dei numeri atomici di tutti gli atomi presenti nella molecola
"Sapendo che il pH è il logaritmo del reciproco della concentrazione molare di ioni H+, qual è il pH di una soluzione 0,06 M (molare) di HCl (acido cloridrico)? Assumere che l'acido sia completamente dissociato.",1.22,0.6,6,2,3
La solubilità di un gas in un liquido:,aumenta all'aumentare della pressione,non dipende dalla temperatura,non dipende dalla pressione,aumenta al diminuire della pressione,aumenta all'aumentare della temperatura
"Sciogliendo 1 grammo di sale da cucina nelle seguenti quantità di acqua, quale soluzione sarà più concentrata?",10 cm3,1 dm3,100 ml,"0,1 litri",15 ml
Individuare il nome IUPAC corretto del composto che ha la seguente formula chimica: (C2H5)2C(CH3)CH2CH3,3-etil-3-metilpentano,3-metilesano,2-metil-1-etilpentano,1-metil-1-etilpentano,3-metil-3-etilbutano
18 g di acqua sono necessari per trasformare 56 g di ossido di calcio in idrossido di calcio. Quanti grammi di acqua sono necessari per trasformare 25 g di ossido di calcio?,8.036,9,12.001,15.022,13.345
"Alla temperatura di 298 K e alla pressione di 1,2 atm, 0,7 moli di NH3 vengono mescolate con 0,8 moli di O2. La miscela così ottenuta viene portata alla temperatura di 273,15 K e alla pressione di 1 atm. Vengono quindi sottratte 0,3 moli di miscela. Qual è il volume della miscela residua?","26,91 dm3 o 26,91 litri","1,2 litri","33,6 litri",I dati forniti sono insufficienti per rispondere al quesito,"18,66 dm3"
"Gli alcoli sono caratterizzati dalla presenza di un gruppo funzionale.
Quale?",OH,COOH,SH,NH2,CHO
Quale delle seguenti configurazioni elettroniche appartiene allo zolfo?,1s2 2s2 2p6 3s2 3p4,1s2 2s2 2p6 3s2 3p3,1s2 2s2 2p6 3s2 3p5,1s2 2s2 2p4,1s2 2s2 2p6 3s2 3p6 3d10 4s2 4p4
Un orbitale contiene un numero di elettroni:,non superiore a 2 e con spin opposti,pari a n2(n – 1),che dipende dal numero quantico principale,indefinito,nessuna delle altre alternative è corretta
Nel gruppo funzionale amminico è presente un atomo di:,azoto,cloro,fosforo,zolfo,ossigeno
"0,75 moli di un composto hanno una massa 15,0 g. Calcolare il peso molecolare.",20 g/mol,5 g/mol,16 g/mol,75 g/mol,12 g/mol
Come può essere descritto un legame metallico?,dovuto all’attrazione tra gli ioni metallici positivi e gli elettroni delocalizzati che li circondano,dovuto all’attrazione tra gli ioni metallici negativi e gli elettroni mobili che li circondano,dovuto all’attrazione tra gli ioni metallici positivi e gli ioni negativi che li circondano,dovuto all’attrazione tra gli ioni metallici negativi e gli ioni positivi che li circondano,dovuto all’attrazione tra gli ioni metallici negativi e i protoni delocalizzati che li circondano
"Quanto pesa una mole di atomi di 35Cl (numero di massa 35, numero atomico 17)?",35 g,17 g,35 kg,Una quantità in g pari al numero di Avogadro,17 Kg
"Gli alogeni (fluoro, cloro, bromo, iodio) sono:",non metalli,metalli,tutti gassosi a temperatura ambiente,elementi dotati di un basso potenziale di ionizzazione,elementi dotati di una bassa elettronegatività
"Quando due atomi si legano, per energia di legame si intende:",l'energia impiegata dagli atomi per la formazione del legame,l'energia acquistata dagli atomi per la formazione del legame,l'energia donata da un atomo all'altro nella formazione del legame,la somma del contenuto energetico di ciascun elettrone coinvolto nel legame,nessuna delle altre risposte è corretta
Una specie chimica si ossida quando:,"cede elettroni a una specie chimica diversa, che si riduce",neutralizza una specie chimica diversa,diventa neutra acquistando elettroni da una specie chimica diversa,cede ioni a una specie chimica diversa,"acquista elettroni da una specie chimica diversa, che si riduce"
Un'ammina si dice terziaria quando:,all'atomo di azoto sono legati tre atomi di carbonio,il gruppo amminico è legato a un carbonio terziario,contiene tre gruppi amminici,la catena carboniosa contiene tre atomi di carbonio,il gruppo amminico è legato al terzo carbonio della catena
"Secondo la teoria acido-base (Brønsted-Lowry), acido è una sostanza che in una reazione:",nessuna delle altre risposte è corretta,cede ioni OH–,acquista protoni,cede elettroni,aumenta il suo numero di ossidazione
Un idrossido:,si forma dalla reazione tra un ossido basico e l'acqua,"è formato da idrogeno, ossigeno e un non-metallo","è un composto ternario, formato da ossigeno e due diversi metalli",presenta caratteristiche acide,"è un composto binario, costituito da un metallo e da un non-metallo"
"Quali sono i coefficienti stechiometrici che bilanciano la seguente reazione chimica?
a CH4 + b O2 → c CO2 + d H2O",a = 1; b = 2; c = 1; d = 2,a = 1; b = 1; c = 1; d = 1,a = 1; b = 2; c = 1; d = 3,a = 1; b = 2; c = 1; d = 1,a = 1; b = 3; c = 1; d = 2
Che caratteristica ha la massa dei liquidi?,È definita,Non è definita,Dipende dal recipiente,Non è per nulla comprimibile,Nessuna delle altre alternative è corretta
"L'alluminio (numero di massa 27, numero atomico 13) ha:",13 elettroni e 14 neutroni,13 protoni e 27 neutroni,27 elettroni e 14 neutroni,27 elettroni e 13 neutroni,30 elettroni e 30 protoni
"Calcolare la molarità di una soluzione ottenuta sciogliendo 7 g di NH4Cl (53,5 g/mol) in 100 mL di acqua.","1,3 M",3 M,"0,2 M","2,5 M","0,1 M"
Quale delle seguenti affermazioni relative alla struttura dell’atomo è ERRATA?,Il nucleo occupa circa un decimo del volume dell’atomo,Quasi tutta la massa dell’atomo risiede nel nucleo,In un atomo neutro il numero di protoni è uguale al numero di elettroni,Non è possibile determinare simultaneamente e con precisione in quale punto si trovi e a quale velocità si muova un elettrone in un atomo,La somma del numero dei protoni e dei neutroni di un atomo viene definita numero di massa
"Individuare la sostanza che, sciolta in acqua, forma una soluzione basica.",Na2S,N2O3,SO2,NH4Br,I2
"Qual è il peso molecolare del cloruro di calcio CaCl2, assumendo che i pesi atomici di Ca e Cl siano rispettivamente 40 e 35 unità di massa atomica?",110 u,85 u,75 u,115 u,150 u
La corretta struttura di Lewis della molecola di acqua presenta:,2 legami singoli O-H e due coppie solitarie su O,2 legami singoli O-H ed una coppia solitaria su O,solo 2 legami singoli O-H,2 legami singoli O-H ed una coppia solitaria su ciascun H,"1 legame doppio tra O ed H, e 1 legame singolo tra O ed H"
"Qual è il valore del pH di una soluzione 0,01 M di H3O+?",2,0,0.01,1,–1
La formula del propano è:,C3H8,C4H10,CH2,C4H6,nessuna delle altre risposte è corretta
Indicare quale delle seguenti affermazioni riguardo alle proteine è FALSA:,hanno una struttura tridimensionale molto semplice,sono sintetizzate a partire da un mRNA,sono coinvolte in vie di trasduzione del segnale,sono formate da amminoacidi,fungono da catalizzatore biologico
"L'acido cianidrico (HCN) è un acido debolissimo, con Ka = 4,93 x 10–10. Si considerino 7,5 litri di una soluzione acquosa di acido cianidrico che
contengono 0,75 x 10–5 moli di H+. Qual è il pOH di tale soluzione?",8,4.93,"Nonostante si tratti di un acido debolissimo, non è possibile calcolare il pOH della soluzione acquosa",7.5,6
Il simbolo (+) posto davanti al nome del composto indica che esso è:,destrogiro,otticamente inattivo,levogiro,una forma meso,un racemo
Quale dei seguenti elementi del periodo 4 ha la maggiore elettronegatività?,Br,As,Ca,Se,Zn
Gli atomi che formano un legame covalente:,condividono elettroni e formano orbitali molecolari,condividono elettroni che rimangono in orbitali atomici,formano orbitali molecolari ma non condividono elettroni,si scambiano elettroni,subiscono una ionizzazione
"Quante moli di acqua si ottengono dalla combustione completa di 3,0 moli di 1-butino?",9,Nessuna delle altre alternative è corretta,10,15,12
A quale gruppo della Tabella Periodica degli Elementi appartengono i metalli alcalino terrosi?,II gruppo,I gruppo,III gruppo,VII gruppo,nessuna delle altre alternative è corretta
Il pH di una soluzione di acetato di sodio è:,basico,indefinibile,nessuna delle altre risposte è corretta,neutro perché il composto è un sale,acido
La base coniugata di NH4+ è:,NH3,OH–,"–
NH2",KOH,NH4OH
I composti ionici:,sono più facilmente solubili in solventi polari,sono solubili solo in solventi apolari,non sono mai solubili in acqua,si sciolgono sempre in benzina,nessuna delle altre alternative è corretta
Qual è il nome del C3H7Br?,Bromuro di propile,Bromuro di propene,Bromuro di propino,Propano-bromo,Nessuna delle altre risposte è corretta
Qual è l'acido coniugato dello ione bicarbonato?,H2CO3,"–
HCO3",H3O+,OH–,"2–
CO3"
Il legame tra l'atomo di carbonio e gli atomi di idrogeno nella molecola del metano è:,covalente,ionico,a ponte idrogeno,dativo,di coordinazione
Quale dei seguenti elementi NON appartiene al I gruppo?,Mg,Li,Rb,Cs,Na
La formula del bicarbonato di sodio è:,NaHCO3,Na2CO3,CH3COONa,CH3COONH4,K2SO4
Indicare quale delle seguenti reazioni è correttamente bilanciata.,Ca3(PO4)2 + 2 Al(NO3)3 → 3 Ca(NO3)2 + 2 AlPO4,3 Ca3(PO4)2 + 2 Al(NO3)3 → 3 Ca(NO3)2 + 2 AlPO4,Ca3(PO4)2 + 5 Al(NO3)3 → 3 Ca(NO3)2 + 2 AlPO4,Ca3(PO4)2 + 2 Al(NO3)3 → 3 Ca(NO3)2 + AlPO4,Ca3(PO4)2 + 2 Al(NO3)3 → Ca(NO3)2 + 2 AlPO4
La formula generale degli alchini è:,CnH2n – 2,CnH2n + 2,CnH2n,CnHn,CnH3n
"Qual è la massa molecolare dell'acido nitroso espressa in u? (masse atomiche: H = 1 u, N = 14 u, O = 16 u)",47 u,63 u,64 u,80 u,81 u
Quale delle seguenti sostanze risulta incomprimibile alla temperatura di 283 K?,Bromo,Azoto,Cloro,Solfuro di idrogeno,Metano
La corretta struttura di Lewis della molecola di metano presenta:,solo 4 legami singoli C–H,"3 legami singoli C–H, una coppia solitaria su C, ed 1 legame doppio C–H",2 legami singoli C–H e 2 legami doppi C–H,4 legami singoli C–H ed una coppia solitaria su ciascun H,"1 legame doppio tra C ed H, e 3 legami singoli tra C ed H"
Gli isotopi del Carbonio 12C e 14C differiscono per:,due neutroni nel nucleo,il numero atomico,due elettroni,due protoni nel nucleo,la carica del nucleo
Una soluzione tampone è caratterizzata:,"dalla capacità di mantenere costante, entro certi limiti, il pH",da una pressione osmotica identica a quella del sangue,da una pressione osmotica nota e costante,da un pH identico a quello del sangue,da una concentrazione fisiologica di glucosio
La reazione 2 KI + Br2 → 2 KBr + I2 è una reazione di:,ossidoriduzione,decomposizione,dismutazione,addizione,combustione
L'ossido di litio reagisce con l'acqua formando:,una soluzione a pH basico,una soluzione a pH 7,una soluzione a pH acido,la reazione non avviene,il metallo e liberando ossigeno
Le proprietà colligative delle soluzioni sono quelle proprietà che dipendono:,dal numero delle particelle di soluto,dalla natura delle particelle di soluto,dal pH della soluzione,dalla forza ionica,nessuna delle altre alternative è corretta
Individuare l'alcol secondario.,4-metil-2-pentanolo,"2,3-dimetil-2-butanolo",2-metil-2-esanolo,"3,3-dimetil-1-butanolo",2-metil-2-propanolo
La reazione tipica dell’etilene è:,l'addizione elettrofila,l'addizione nucleofila,la sostituzione elettrofila,la sostituzione nucleofila,tutte le reazioni menzionate nelle altre risposte
Tra le seguenti sostanze indicare l'elettrolita debole.,Acido acetico,Idrossido di sodio,Acido solforico,Cloruro di potassio,Nessuna delle altre alternative è corretta
Un atomo neutro con Z = 19 e A = 39 possiede:,"19 protoni, 19 elettroni e 20 neutroni","20 protoni, 19 elettroni e 19 neutroni","19 protoni, 20 elettroni e 19 neutroni","20 protoni, 20 elettroni e 19 neutroni","20 protoni, 19 elettroni e 20 neutroni"
Si definisce pH di una soluzione:,il logaritmo decimale cambiato di segno della concentrazione degli ioni H3O+,il logaritmo cambiato di segno del prodotto ionico dell'acqua,il logaritmo del rapporto tra il prodotto ionico dell'acqua e la concentrazione degli ioni H+,la concentrazione molare degli ioni H3O+,il logaritmo decimale della concentrazione degli ioni H3O+
"Due elementi rappresentativi che hanno un numero di elettroni diversi, ma nello stesso livello energetico più esterno, nella tavola periodica si trovano:","nello stesso periodo, ma in gruppi diversi","nello stesso gruppo, ma in periodi diversi",nello stesso periodo e nello stesso gruppo,in periodi opposti tra loro,in periodi e in gruppi diversi
Per fumo si intende:,un miscuglio eterogeneo di un solido in un gas,un miscuglio eterogeneo di un liquido in un gas,un miscuglio eterogeneo di due gas immiscibili tra loro,un miscuglio eterogeneo di due liquidi immiscibili tra loro,un miscuglio omogeneo di due gas
I più semplici composti organici sono:,gli idrocarburi,i sali,gli atomi di idrogeno,gli alcoli,gli ossiacidi
Individuare il composto ionico tra le seguenti sostanze.,BeBr2,H2S,AsH3,SiH4,HClO3
Un acido reagisce con una base per formare acqua e un sale. Questo processo è chiamato:,neutralizzazione,esterificazione,idrolisi,combustione,nessuna delle altre risposte è corretta
"L'atomo di Se, con numero di massa 80 e numero atomico 34, contiene nel nucleo:",34 protoni e 46 neutroni,17 protoni e 80 neutroni,7 protoni ed 8 neutroni,5 protoni e 2 neutroni,nessuna delle altre alternative è corretta
Quale tra i seguenti composti organici NON appartiene alla stessa classe di idrocarburi di tutti gli altri?,C2H4,C3H8,C5H12,CH4,C7H16
"Quante moli di glucosio, C6H12O6, ci sono in 180 g di tale sostanza (C = 12, H = 1, O = 16)?",1,180,6,2,8
La pressione osmotica:,aumenta all’aumentare della concentrazione del soluto non volatile,non dipende dalla concentrazione della soluzione,diminuisce all’aumentare della concentrazione del soluto,è la pressione idrostatica necessaria per impedire lo spostamento del soluto attraverso una membrana semipermeabile,è sempre diversa per due soluzioni con la stessa concentrazione di soluti non volatili diversi
Il numero di Avogadro può esprimere il numero di:,molecole contenute in una mole di sostanza,atomi contenuti in una molecola,protoni contenuti in un atomo,elettroni delocalizzati in un metallo in condizioni standard,quark dei nucleoni
L'ordine di stabilità dei carbocationi è:,"+
CH3   <1° <2° <3°","+
CH3   <1° >2° >3°","+
CH3   >1° >2° >3°",CH4 + H2O >1° <2° <3°,nessuna delle altre alternative è corretta
Una reazione chimica procede spontaneamente verso destra quando:,la sua energia libera è minore di zero,la sua energia libera è molto grande in valore assoluto,la sua energia libera è uguale a zero,la sua energia libera è maggiore di zero,i reagenti hanno un peso molecolare molto maggiore di quello dei prodotti
"In chimica, un elemento è:",una sostanza pura che non può essere scomposta in due o più sostanze più semplici,una sostanza creata artificialmente in laboratorio,"costituito, al più, da due sostanze elementari","una mescolanza di due o più sostanze che, a contatto, non reagiscono tra loro",una mescolanza di due sostanze chimiche che non possono essere distinguibili visivamente
Il prodotto della riduzione di un aldeide è:,un alcol primario,un acido carbossilico,un estere,un'ammina,un alcol terziario
Qual è la configurazione elettronica dello ione Al3+?,1s2 2s2 2p6,1s2 2s2 2p6 3s2 3p6,1s2 2s2 2p6 3s2 3p5,1s2 2s2 2p6 3s2,1s2 2s2 2p6 3s1
"Si può ipotizzare che una soluzione concentrata di una base forte, come ad esempio NaOH, abbia un valore del pH:",molto alto,inferiore a 3,compreso tra 5 e 7,compreso tra 7 e 9,uguale a 7
Quale dei seguenti pH identifica una soluzione acida?,pH compreso tra 1 e 3,pH compreso tra 8 e 9,pH compreso tra 3 e 9,pH superiore a 10,pH compreso tra 5 e 14
Quale delle seguenti affermazioni è ERRATA?,Gli enantiomeri possono essere otticamente attivi o non attivi,Si dicono enantiomeri gli stereoisomeri che sono l’immagine speculare uno dell’altro,Gli enantiomeri sono anche chiamati antipodi ottici,"Gli enantiomeri, pur essendo l’immagine speculare uno dell’altro, non sono sovrapponibili",In alcune molecole l’energia di interconversione tra i due enantiomeri è relativamente bassa consentendo la interconversione di un enantiomero in un altro.
Il legno è:,una miscela eterogenea,una miscela omogenea,una sostanza elementare,una soluzione solida,un composto chimico
Nella reazione bilanciata 3 Ag + 4 HNO3 → 3 AgNO3 + NO + 2 H2O:,l'argento si ossida e l'azoto si riduce,l'idrogeno si riduce e l'ossigeno si ossida,l'argento si riduce e l'azoto si ossida,non si ha alcun trasferimento di elettroni,argento e azoto si ossidano
Quale dei seguenti vocaboli indica un miscuglio eterogeneo di due o più liquidi immiscibili tra loro?,Emulsione,Schiuma,Nebbia,Fumo,Soluzione
Una soluzione contiene 3 moli di soluto in 12 kg di solvente. Qual è la sua molalità?,"0,25 m",4 m,3 m,12 m,"0,3 m"
Quale delle seguenti affermazioni è corretta?,Il potenziale di prima ionizzazione del sodio è minore di quello del magnesio,L'affinità elettronica del carbonio è maggiore di quella dell'ossigeno,Il potassio ha massa atomica minore di quella del litio,Il raggio atomico di un atomo di S è minore di quello di un atomo di O,Il cloro ha elettronegatività minore di quella dello iodio
"Alla pressione atmosferica, o più in generale alla pressione dell'ambiente circostante, l'acqua evapora:",anche a temperature inferiori a 100 °C,solamente quando viene portata alla temperatura di 100 °C,purché sia assolutamente pura,sempre sotto forma di bolle,solamente per distillazione frazionata
Dalla riduzione di un chetone si ottiene:,un alcol secondario,un alcol primario,un acido carbossilico,un’aldeide,un etere
Quale dei seguenti orbitali ha energia più bassa?,2p,3s,3d,4s,3p
La carica totale di un atomo di He è:,0,–2,2,4,nessuna delle altre alternative è corretta
La specie riducente:,è la specie che si ossida e cede elettroni,è la specie che si ossida e acquista elettroni,è la specie che si riduce e acquista elettroni,è la specie che fa ridurre e che acquista elettroni,è la specie che da combustione
"Se un litro di una soluzione tampone formata da un acido debole e un suo sale con una base forte viene diluito con acqua a 3 litri, il pH della soluzione ottenuta:",resta invariato,aumenta,diminuisce,diventa acido,aumenta o diminuisce in base alle condizioni ambientali
Quale tra le seguenti formule è ERRATA?,Ca(HCO4)2,OF2,B2O3,SiH4,PH3
Per fase si intende:,"una porzione di materia, fisicamente distinguibile e delimitata, che ha proprietà intensive uniformi","una porzione di materia, fisicamente distinguibile e delimitata, che ha proprietà estensive uniformi","una porzione di materia, fisicamente distinguibile e delimitata,che si trova in uno stato fisico diverso da quello della materia che la circonda","una porzione di materia, fisicamente distinguibile e delimitata,che ha composizione chimica diversa da quella della materia che la circonda","una porzione di materia, fisicamente distinguibile e delimitata,formata da un solo tipo di atomi"
"Qual è il pH di una soluzione acquosa di KCI 0,5 molare?",7,7.5,5,2,8
"Nella reazione BaCl2 + H2SO4 → 2 HCl + BaSO4, quante moli di HCl si possono ottenere da 2,5 moli di BaCl2?",5,3,4,2,7.5
Quale dei seguenti composti della chimica organica ha la minore massa molare?,Butan-1-olo,Acido butanoico,Etanoato di etile,3-idrossibutanale,1-idrossibutan-2-one
In quale delle seguenti coppie le due specie chimiche hanno la stessa configurazione elettronica?,"+
Ne e Al3",S ed Ar,K e Na+,Cl – e K,S2 – e Cl –
Il composto con formula H3BO3:,è un ossiacido,è un sale,è un idrossido,è un'anidride,è un idruro
In una soluzione neutra:,la concentrazione degli ioni H+ è uguale a quella degli ioni OH–,la concentrazione degli ioni H+ è maggiore di 10–7 M,non deve essere presente alcun soluto,la concentrazione degli ioni OH– è maggiore di 10–7 M,è sicuramente avvenuta una reazione di neutralizzazione
I metalli alcalini:,"ossidandosi, cedono elettroni",hanno configurazione elettronica esterna ns2,non sono ionizzabili,"reagendo con i non metalli, mostrano un forte potere ossidante",nessuna delle altre alternative è corretta
Quale fra questi è il metano?,CH4,C6H6,C2H6,C2H4,Nessuna delle altre alternative è corretta
Qual è la natura del composto organico (CH3CO)2O?,Anidride,Etere,Estere,Chetone,Nessuna delle altre alternative è corretta
In che stato fisico si trova l'etano a 25 °C?,Gas,Liquido,Solido,Dipende da dove viene estratto,Nessuna delle altre alternative è corretta
I due nuclidi 14C e 14N hanno in comune il numero:,globale di neutroni e protoni,atomico,di neutroni,di elettroni e protoni,di elettroni
"A 1 L di una soluzione 0,004M di HCl vengono aggiunti dapprima 4 L di una soluzione 0,0035M di NaOH e poi 5 L di una soluzione 0,004M di HClO3. Qual è il pH della soluzione finale?",3,2,1.42,2.34,1.68
La reazione di Diels-Alder tra butadiene ed etilene:,porta alla formazione di un composto ciclico insaturo,porta alla formazione di un composto aromatico,porta alla formazione di benzene,è un'addizione 2 + 2,è un'addizione 3 + 2
Che volume di una soluzione 1.0 mol/L di HCl è necessario per neutralizzare 1.0 L di una soluzione 0.50 mol/L di NaOH?,0.50 L,1.0 L,2.0 L,1.5 L,2.5 L
Quando un elettrolita si dice forte?,Quando è totalmente dissociato in ioni,Quando ha molte cariche (positive o negative) effettive,Quando è parzialmente ionizzato,Quando ha poche cariche (positive e negative),Nessuna delle altre risposte è corretta
L'elemento più elettronegativo è:,il fluoro,il carbonio,l'ossigeno,l'idrogeno,l’azoto
Qual è la formula bruta corretta dell’ossido di vanadio (III)?,V2O3,V2O5,Va2O3,VaO,VO3
Individuare l'alcol secondario tra i seguenti composti.,4 - etil - 3 - metil - 2 - ottanolo,3 - metil - 3 - pentanolo,2 - metil - 2 - eptanolo,3 - metil - 1 - butanolo,3 - bromo - 2 - metil - 2 - butanolo
Gli orbitali ibridi sp2:,sono diretti lungo i vertici di un triangolo equilatero,sono diretti lungo le tre direzioni dello spazio,formano fra loro angoli di 90˚,formano fra loro angoli di 180˚,"formano tra loro angoli di 109,5°"
"In 5,0 litri di una soluzione acquosa di KOH con pH = 9, quante moli di KOH sono contenute?",5e-05,"0,1 x 10-8",1e-05,"0,5 x 10-5",Non si può dire in quanto KOH non è una base forte
Nella molecola del gas Cloro (Cl2) esiste un legame tra i due atomi del tipo:,covalente non polare,covalente polare,metallico,idrogeno,ionico
Si possono avere atomi di idrogeno quaternari in un alcano?,"No, mai",Nessuna delle altre alternative è corretta,"Sì, talvolta","Sì, sempre","Sì, dipende dal tipo di alcano considerato"
La solubilità di un gas in un liquido aumenta:,quando la pressione aumenta,se la variazione di pressione non ha effetto,se il calore non ha effetto,quando la pressione diminuisce,se si somministra calore
Dieci litri di soluzione acquosa contiengono 360 g di HCl (MM = 36.0 g/mol) e 400 g di NaOH (MM = 40.0 g/mol). Quale dei seguenti valori di pH avrà la soluzione?,pH neutro,pH inferiore a 7.0,pH superiore a 7.0,pH molto maggiore di 8.0,Nessuna delle altre alternative è corretta
"Quale delle seguenti sostanze, sciolta in acqua, forma una soluzione basica?",Li2O,Cl2,NH4Br,NH4ClO4,Br2O
Cos'è il metano?,Un alcano,Un idrocarburo insaturo,Un idrocarburo aromatico,Un idrocarburo ciclico,Un metallo
